id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18,docs-19,docs-delta-percent-19,docs-percent-19,docs-female-19,docs-male-19,docs-questions-19,docs-complaints-19,docs-20,docs-delta-percent-20,docs-percent-20,docs-female-20,docs-male-20,docs-questions-20,docs-complaints-20,docs-21,docs-delta-percent-21,docs-percent-21,docs-female-21,docs-male-21,docs-questions-21,docs-complaints-21,docs-22,docs-delta-percent-22,docs-percent-22,docs-female-22,docs-male-22,docs-questions-22,docs-complaints-22,docs-23,docs-delta-percent-23,docs-percent-23,docs-female-23,docs-male-23,docs-questions-23,docs-complaints-23,docs-24,docs-delta-percent-24,docs-percent-24,docs-female-24,docs-male-24,docs-questions-24,docs-complaints-24,docs-25,docs-delta-percent-25,docs-percent-25,docs-female-25,docs-male-25,docs-questions-25,docs-complaints-25,docs-26,docs-delta-percent-26,docs-percent-26,docs-female-26,docs-male-26,docs-questions-26,docs-complaints-26,docs-28,docs-delta-percent-28,docs-percent-28,docs-female-28,docs-male-28,docs-questions-28,docs-complaints-28,docs-29,docs-delta-percent-29,docs-percent-29,docs-female-29,docs-male-29,docs-questions-29,docs-complaints-29,docs-30,docs-delta-percent-30,docs-percent-30,docs-female-30,docs-male-30,docs-questions-30,docs-complaints-30,docs-31,docs-delta-percent-31,docs-percent-31,docs-female-31,docs-male-31,docs-questions-31,docs-complaints-31,docs-32,docs-delta-percent-32,docs-percent-32,docs-female-32,docs-male-32,docs-questions-32,docs-complaints-32,docs-33,docs-delta-percent-33,docs-percent-33,docs-female-33,docs-male-33,docs-questions-33,docs-complaints-33,docs-34,docs-delta-percent-34,docs-percent-34,docs-female-34,docs-male-34,docs-questions-34,docs-complaints-34,docs-35,docs-delta-percent-35,docs-percent-35,docs-female-35,docs-male-35,docs-questions-35,docs-complaints-35,docs-36,docs-delta-percent-36,docs-percent-36,docs-female-36,docs-male-36,docs-questions-36,docs-complaints-36,docs-37,docs-delta-percent-37,docs-percent-37,docs-female-37,docs-male-37,docs-questions-37,docs-complaints-37,docs-38,docs-delta-percent-38,docs-percent-38,docs-female-38,docs-male-38,docs-questions-38,docs-complaints-38,docs-39,docs-delta-percent-39,docs-percent-39,docs-female-39,docs-male-39,docs-questions-39,docs-complaints-39,docs-40,docs-delta-percent-40,docs-percent-40,docs-female-40,docs-male-40,docs-questions-40,docs-complaints-40,docs-41,docs-delta-percent-41,docs-percent-41,docs-female-41,docs-male-41,docs-questions-41,docs-complaints-41,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-27,docs-delta-percent-27,docs-percent-27,docs-female-27,docs-male-27,docs-questions-27,docs-complaints-27
AGO,2022-02-01,Angola,1,0,0.88,0,1,0,0,6,0,5.31,1,0,1,1,1,0,0.88,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18.58,0,2,1,6,1,0,0.88,0,0,0,0,1,0,0.88,0,0,0,0,6,0,5.31,0,1,0,0,2,0,1.77,0,1,0,0,8,0,7.08,0,0,1,1,0,0,0,0,0,0,0,3,0,2.65,0,0,0,0,1,0,0.88,0,0,0,0,0,0,0,0,0,0,0,10,0,8.85,2,2,1,0,0,0,0,0,0,0,0,1,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,23.01,0,2,2,1,4,0,3.54,0,1,0,1,1,0,0.88,0,0,1,0,3,0,2.65,0,1,1,2,6,0,5.31,0,0,0,0,0,0,0,0,0,0,0,5,0,4.42,0,1,0,1,0,0,0,0,0,0,0,3,0,2.65,0,0,0,0,0,0,0,0,0,0,0
AGO,2022-02-02,Angola,1,0,0.51,0,0,0,0,8,33.33,4.08,0,0,0,3,1,0,0.51,0,0,0,0,1,100,0.51,0,0,0,0,0,100,0,0,0,0,0,1,100,0.51,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,23,9.52,11.73,0,2,2,8,0,-100,0,0,0,0,0,5,400,2.55,1,0,1,1,19,216.67,9.69,0,3,1,0,5,150,2.55,0,2,0,0,12,50,6.12,0,1,0,2,0,100,0,0,0,0,0,1,-66.67,0.51,0,0,0,0,1,0,0.51,0,0,0,0,0,100,0,0,0,0,0,18,80,9.18,1,2,0,1,0,100,0,0,0,0,0,1,0,0.51,0,0,0,0,0,100,0,0,0,0,0,1,100,0.51,0,0,0,0,1,100,0.51,1,0,1,0,6,500,3.06,0,0,0,0,6,100,3.06,0,0,1,1,0,100,0,0,0,0,0,1,100,0.51,0,0,0,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,1,100,0.51,0,0,0,0,50,92.31,25.51,0,1,5,4,13,225,6.63,0,0,0,3,1,0,0.51,0,0,0,0,0,-100,0,0,0,0,0,7,16.67,3.57,0,0,2,1,2,100,1.02,0,0,0,0,5,0,2.55,0,0,0,1,5,100,2.55,0,0,0,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0
BRA,2022-02-01,Brazil,99,0,0.75,24,53,1,2,212,0,1.6,62,103,12,28,130,0,0.98,45,59,13,16,795,0,6.01,386,274,41,26,177,0,1.34,88,58,4,2,18,0,0.14,9,7,2,0,159,0,1.2,29,99,8,47,152,0,1.15,51,71,25,4,713,0,5.39,230,275,41,70,184,0,1.39,55,67,13,8,515,0,3.9,229,188,34,23,1001,0,7.57,417,358,62,39,1098,0,8.31,387,440,69,71,1299,0,9.83,378,542,111,62,93,0,0.7,26,47,5,5,255,0,1.93,65,103,21,4,11,0,0.08,6,3,1,0,79,0,0.6,22,41,6,4,2356,0,17.82,941,880,146,145,11,0,0.08,7,1,0,1,220,0,1.66,71,56,10,5,18,0,0.14,5,9,1,6,109,0,0.82,48,40,10,9,144,0,1.09,31,53,13,17,52,0,0.39,9,25,6,13,220,0,1.66,57,73,14,18,27,0,0.2,8,11,4,3,53,0,0.4,13,17,1,6,36,0,0.27,11,15,4,6,26,0,0.2,16,4,0,1,102,0,0.77,29,51,3,1,336,0,2.54,50,152,24,36,217,0,1.64,81,98,12,28,99,0,0.75,30,43,5,5,121,0,0.92,37,53,9,9,623,0,4.71,158,205,30,21,365,0,2.76,117,151,32,40,214,0,1.62,74,102,23,29,224,0,1.69,57,109,3,12,657,0,4.97,182,306,30,20,0,0,0,0,0,0,0
BRA,2022-02-02,Brazil,111,12.12,0.82,19,68,10,5,270,27.36,2,96,125,15,34,119,-8.46,0.88,37,61,7,16,690,-13.21,5.11,315,236,30,23,174,-1.69,1.29,99,50,7,7,29,61.11,0.21,16,7,1,0,164,3.14,1.21,36,83,14,30,128,-15.79,0.95,47,63,19,9,779,9.26,5.77,282,259,25,63,180,-2.17,1.33,65,64,14,5,519,0.78,3.84,247,176,23,17,982,-1.9,7.27,420,342,64,48,1255,14.3,9.29,419,459,64,61,1562,20.25,11.57,454,623,134,74,68,-26.88,0.5,19,37,7,3,236,-7.45,1.75,45,105,29,7,9,-18.18,0.07,1,5,0,1,63,-20.25,0.47,21,31,1,6,2178,-7.56,16.13,870,799,145,116,13,18.18,0.1,2,6,2,1,188,-14.55,1.39,64,60,10,8,18,0,0.13,3,10,1,3,88,-19.27,0.65,27,38,6,9,168,16.67,1.24,34,51,10,24,64,23.08,0.47,12,31,2,7,278,26.36,2.06,67,103,23,20,21,-22.22,0.16,7,9,0,4,31,-41.51,0.23,5,10,0,1,31,-13.89,0.23,5,16,2,3,14,-46.15,0.1,10,3,0,1,125,22.55,0.93,39,58,9,10,350,4.17,2.59,84,180,19,32,297,36.87,2.2,137,114,17,18,98,-1.01,0.73,31,49,3,10,102,-15.7,0.76,41,36,6,13,670,7.54,4.96,138,296,35,16,387,6.03,2.87,126,157,33,43,228,6.54,1.69,60,124,22,41,251,12.05,1.86,58,122,13,17,567,-13.7,4.2,178,250,32,20,0,100,0,0,0,0,0
CAN,2022-02-01,Canada,17,0,0.11,3,6,4,2,300,0,1.89,96,105,53,16,81,0,0.51,23,39,13,26,246,0,1.55,96,73,57,15,46,0,0.29,16,15,6,1,27,0,0.17,19,5,4,2,835,0,5.26,189,260,176,24,420,0,2.65,113,183,117,8,520,0,3.28,136,190,99,49,617,0,3.89,208,198,113,6,328,0,2.07,95,127,34,27,22,0,0.14,4,7,3,0,1770,0,11.15,335,639,315,88,28,0,0.18,5,11,4,3,84,0,0.53,31,31,13,4,901,0,5.68,229,320,150,39,37,0,0.23,11,13,8,2,175,0,1.1,49,73,28,11,153,0,0.96,40,46,38,12,86,0,0.54,24,35,17,11,1431,0,9.02,444,438,263,79,157,0,0.99,43,59,34,23,217,0,1.37,80,77,47,15,442,0,2.78,123,166,72,38,686,0,4.32,215,247,167,69,1533,0,9.66,394,541,263,127,52,0,0.33,14,23,10,6,32,0,0.2,8,15,5,0,106,0,0.67,18,22,5,5,143,0,0.9,37,36,15,7,132,0,0.83,38,52,17,6,597,0,3.76,128,228,64,60,230,0,1.45,52,94,32,10,285,0,1.8,76,107,58,25,729,0,4.59,201,263,108,59,95,0,0.6,24,17,5,2,324,0,2.04,88,113,57,19,934,0,5.88,253,382,126,151,422,0,2.66,100,157,62,41,631,0,3.98,140,264,151,11,0,0,0,0,0,0,0
CAN,2022-02-02,Canada,16,-5.88,0.12,6,2,2,2,188,-37.33,1.41,62,63,40,10,86,6.17,0.65,33,27,20,19,230,-6.5,1.73,90,79,47,14,45,-2.17,0.34,12,15,12,0,27,0,0.2,15,9,6,0,622,-25.51,4.68,161,263,168,36,338,-19.52,2.54,95,150,87,2,496,-4.62,3.73,165,169,104,57,550,-10.86,4.14,207,180,100,11,286,-12.8,2.15,90,109,46,14,18,-18.18,0.14,4,7,2,3,1524,-13.9,11.47,329,526,240,77,15,-46.43,0.11,5,5,2,0,56,-33.33,0.42,14,34,13,2,674,-25.19,5.07,187,244,107,23,34,-8.11,0.26,7,17,5,1,121,-30.86,0.91,42,31,13,7,137,-10.46,1.03,46,38,21,16,71,-17.44,0.53,22,24,9,9,1244,-13.07,9.36,406,440,247,69,141,-10.19,1.06,34,47,24,12,194,-10.6,1.46,59,68,23,12,355,-19.68,2.67,108,119,45,27,660,-3.79,4.97,207,242,155,56,1223,-20.22,9.2,322,493,216,117,44,-15.38,0.33,13,16,6,5,24,-25,0.18,3,8,5,0,70,-33.96,0.53,14,23,13,4,82,-42.66,0.62,43,20,11,4,198,50,1.49,50,57,27,11,533,-10.72,4.01,134,173,61,43,250,8.7,1.88,67,101,45,8,235,-17.54,1.77,62,98,37,27,573,-21.4,4.31,147,210,94,49,66,-30.53,0.5,21,17,7,2,256,-20.99,1.93,70,91,55,13,765,-18.09,5.76,202,284,98,150,339,-19.67,2.55,84,119,44,37,502,-20.44,3.78,129,207,103,21,1,100,0.01,1,0,1,0
CHE,2022-02-01,Switzerland,2,0,0.2,0,1,0,0,2,0,0.2,0,0,0,0,4,0,0.4,1,1,0,0,17,0,1.72,6,1,2,0,1,0,0.1,1,0,0,0,5,0,0.51,3,1,4,0,9,0,0.91,3,0,0,0,21,0,2.12,0,7,4,0,11,0,1.11,1,1,2,2,11,0,1.11,5,1,1,0,8,0,0.81,1,1,1,0,16,0,1.62,3,6,2,1,281,0,28.41,37,104,42,7,287,0,29.02,53,73,42,10,8,0,0.81,2,3,2,0,10,0,1.01,1,2,2,0,2,0,0.2,1,0,0,0,4,0,0.4,0,1,0,0,24,0,2.43,9,4,3,2,3,0,0.3,0,2,0,2,20,0,2.02,4,5,2,0,15,0,1.52,2,3,3,0,6,0,0.61,0,3,0,0,5,0,0.51,0,3,1,0,12,0,1.21,1,3,0,0,15,0,1.52,5,0,0,0,1,0,0.1,0,1,0,0,1,0,0.1,0,0,0,0,27,0,2.73,3,7,1,2,3,0,0.3,1,0,0,0,12,0,1.21,3,3,1,2,17,0,1.72,6,7,3,2,6,0,0.61,0,2,0,0,0,0,0,0,0,0,0,6,0,0.61,1,2,0,1,8,0,0.81,2,1,0,1,29,0,2.93,8,5,5,1,14,0,1.42,0,3,3,3,25,0,2.53,3,8,3,1,38,0,3.84,4,12,2,0,3,0,0.3,3,0,0,0
CHE,2022-02-02,Switzerland,3,50,0.26,0,1,0,1,2,0,0.17,0,0,0,0,6,50,0.52,1,3,3,0,8,-52.94,0.69,5,0,1,0,1,0,0.09,0,1,0,0,2,-60,0.17,2,0,0,0,13,44.44,1.12,1,4,2,1,15,-28.57,1.3,2,1,5,0,16,45.45,1.38,1,1,2,1,28,154.55,2.42,7,5,4,1,12,50,1.04,4,2,0,2,22,37.5,1.9,2,6,4,0,253,-9.96,21.89,45,89,34,12,411,43.21,35.55,94,92,60,15,9,12.5,0.78,3,3,2,2,14,40,1.21,3,5,2,1,1,-50,0.09,0,0,0,0,8,100,0.69,1,3,0,1,30,25,2.6,4,6,3,1,1,-66.67,0.09,0,0,0,0,22,10,1.9,7,5,2,1,8,-46.67,0.69,0,1,1,0,9,50,0.78,5,2,3,1,3,-40,0.26,0,1,1,0,14,16.67,1.21,2,4,1,0,17,13.33,1.47,4,7,1,1,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,17,-37.04,1.47,2,5,1,2,6,100,0.52,1,1,1,0,14,16.67,1.21,4,3,1,0,12,-29.41,1.04,2,3,1,1,6,0,0.52,1,2,1,1,2,100,0.17,0,0,1,0,2,-66.67,0.17,0,1,0,0,2,-75,0.17,0,0,0,0,42,44.83,3.63,5,10,3,0,15,7.14,1.3,4,3,1,1,39,56,3.37,8,7,1,1,71,86.84,6.14,13,27,6,1,0,-100,0,0,0,0,0
COL,2022-02-01,Colombia,2,0,0.11,0,1,0,0,17,0,0.96,2,7,0,2,30,0,1.69,5,15,6,6,12,0,0.68,3,5,2,2,10,0,0.56,5,4,2,0,0,0,0,0,0,0,0,1,0,0.06,1,0,1,0,9,0,0.51,0,2,2,0,157,0,8.84,32,51,17,22,45,0,2.53,9,16,7,0,54,0,3.04,17,16,4,3,136,0,7.65,23,43,22,9,448,0,25.21,88,152,97,21,94,0,5.29,11,36,19,3,2,0,0.11,0,1,0,0,9,0,0.51,3,1,1,0,5,0,0.28,0,3,0,0,8,0,0.45,2,2,1,0,116,0,6.53,25,40,10,3,2,0,0.11,0,0,0,0,57,0,3.21,6,19,2,2,5,0,0.28,1,3,2,2,21,0,1.18,2,8,3,3,30,0,1.69,6,8,2,4,35,0,1.97,3,8,2,9,87,0,4.9,11,46,6,4,9,0,0.51,2,0,2,0,7,0,0.39,1,2,0,0,12,0,0.68,1,4,2,2,1,0,0.06,0,1,0,0,14,0,0.79,5,6,1,1,97,0,5.46,13,37,9,11,10,0,0.56,3,4,1,0,30,0,1.69,1,20,3,1,26,0,1.46,7,12,3,2,79,0,4.45,11,16,8,4,9,0,0.51,4,4,0,0,18,0,1.01,3,7,0,3,15,0,0.84,2,9,0,1,58,0,3.26,12,15,5,3,0,0,0,0,0,0,0
COL,2022-02-02,Colombia,8,300,0.47,1,4,0,0,26,52.94,1.54,1,12,6,5,28,-6.67,1.65,11,10,1,3,15,25,0.89,3,5,0,0,13,30,0.77,2,8,0,0,2,100,0.12,0,1,0,0,2,100,0.12,2,0,1,0,12,33.33,0.71,0,2,3,0,169,7.64,9.99,31,45,18,15,43,-4.44,2.54,6,18,5,0,30,-44.44,1.77,11,13,3,1,186,36.76,10.99,32,33,13,9,434,-3.12,25.65,111,146,99,35,100,6.38,5.91,19,31,18,2,4,100,0.24,0,2,0,0,8,-11.11,0.47,0,3,0,0,7,40,0.41,2,3,0,0,10,25,0.59,3,0,0,0,72,-37.93,4.26,20,14,10,4,1,-50,0.06,1,0,0,0,53,-7.02,3.13,4,17,2,3,2,-60,0.12,0,1,0,0,24,14.29,1.42,3,12,2,1,27,-10,1.6,0,1,2,1,26,-25.71,1.54,8,3,0,2,64,-26.44,3.78,6,25,11,7,3,-66.67,0.18,0,1,0,0,4,-42.86,0.24,1,0,0,0,5,-58.33,0.3,0,2,1,1,0,-100,0,0,0,0,0,8,-42.86,0.47,3,4,0,0,65,-32.99,3.84,13,23,9,6,8,-20,0.47,0,5,1,1,37,23.33,2.19,2,20,4,5,21,-19.23,1.24,5,8,1,3,68,-13.92,4.02,14,13,6,3,6,-33.33,0.35,0,5,0,0,27,50,1.6,3,14,3,0,8,-46.67,0.47,3,2,0,0,66,13.79,3.9,5,28,7,3,0,100,0,0,0,0,0
