id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18,docs-19,docs-delta-percent-19,docs-percent-19,docs-female-19,docs-male-19,docs-questions-19,docs-complaints-19,docs-20,docs-delta-percent-20,docs-percent-20,docs-female-20,docs-male-20,docs-questions-20,docs-complaints-20,docs-21,docs-delta-percent-21,docs-percent-21,docs-female-21,docs-male-21,docs-questions-21,docs-complaints-21,docs-22,docs-delta-percent-22,docs-percent-22,docs-female-22,docs-male-22,docs-questions-22,docs-complaints-22,docs-23,docs-delta-percent-23,docs-percent-23,docs-female-23,docs-male-23,docs-questions-23,docs-complaints-23,docs-24,docs-delta-percent-24,docs-percent-24,docs-female-24,docs-male-24,docs-questions-24,docs-complaints-24,docs-25,docs-delta-percent-25,docs-percent-25,docs-female-25,docs-male-25,docs-questions-25,docs-complaints-25,docs-26,docs-delta-percent-26,docs-percent-26,docs-female-26,docs-male-26,docs-questions-26,docs-complaints-26,docs-28,docs-delta-percent-28,docs-percent-28,docs-female-28,docs-male-28,docs-questions-28,docs-complaints-28,docs-29,docs-delta-percent-29,docs-percent-29,docs-female-29,docs-male-29,docs-questions-29,docs-complaints-29,docs-30,docs-delta-percent-30,docs-percent-30,docs-female-30,docs-male-30,docs-questions-30,docs-complaints-30,docs-31,docs-delta-percent-31,docs-percent-31,docs-female-31,docs-male-31,docs-questions-31,docs-complaints-31,docs-32,docs-delta-percent-32,docs-percent-32,docs-female-32,docs-male-32,docs-questions-32,docs-complaints-32,docs-33,docs-delta-percent-33,docs-percent-33,docs-female-33,docs-male-33,docs-questions-33,docs-complaints-33,docs-34,docs-delta-percent-34,docs-percent-34,docs-female-34,docs-male-34,docs-questions-34,docs-complaints-34,docs-35,docs-delta-percent-35,docs-percent-35,docs-female-35,docs-male-35,docs-questions-35,docs-complaints-35,docs-36,docs-delta-percent-36,docs-percent-36,docs-female-36,docs-male-36,docs-questions-36,docs-complaints-36,docs-37,docs-delta-percent-37,docs-percent-37,docs-female-37,docs-male-37,docs-questions-37,docs-complaints-37,docs-38,docs-delta-percent-38,docs-percent-38,docs-female-38,docs-male-38,docs-questions-38,docs-complaints-38,docs-39,docs-delta-percent-39,docs-percent-39,docs-female-39,docs-male-39,docs-questions-39,docs-complaints-39,docs-40,docs-delta-percent-40,docs-percent-40,docs-female-40,docs-male-40,docs-questions-40,docs-complaints-40,docs-41,docs-delta-percent-41,docs-percent-41,docs-female-41,docs-male-41,docs-questions-41,docs-complaints-41,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-27,docs-delta-percent-27,docs-percent-27,docs-female-27,docs-male-27,docs-questions-27,docs-complaints-27
AGO,2022-04-01,Angola,1,0,5.56,0,0,0,0,2,0,11.11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,38.89,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11.11,0,1,1,0,1,0,5.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.56,1,0,0,0,0,0,0,0,0,0,0,1,0,5.56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,2022-04-01,Brazil,52,0,1.13,11,26,3,10,104,0,2.27,26,55,4,7,67,0,1.46,12,42,4,14,155,0,3.38,77,49,7,2,27,0,0.59,15,8,1,1,3,0,0.07,1,1,0,0,29,0,0.63,7,14,2,1,40,0,0.87,8,20,3,2,310,0,6.76,106,119,16,12,77,0,1.68,25,32,3,2,152,0,3.32,71,51,2,3,701,0,15.3,180,166,23,18,398,0,8.68,114,163,37,19,496,0,10.82,116,137,23,24,81,0,1.77,7,9,1,0,120,0,2.62,22,46,4,4,3,0,0.07,2,0,0,0,41,0,0.89,9,21,1,1,281,0,6.13,103,109,13,21,4,0,0.09,2,0,0,0,69,0,1.51,16,16,2,1,5,0,0.11,2,2,0,1,21,0,0.46,11,5,2,1,24,0,0.52,4,10,0,3,27,0,0.59,10,7,0,2,128,0,2.79,37,41,1,5,12,0,0.26,3,9,1,3,30,0,0.65,4,4,0,0,17,0,0.37,3,8,0,1,4,0,0.09,2,0,0,1,57,0,1.24,21,18,6,3,356,0,7.77,55,204,16,30,65,0,1.42,22,33,6,9,46,0,1,11,26,1,3,32,0,0.7,14,12,0,4,163,0,3.56,41,49,11,5,89,0,1.94,22,24,1,7,109,0,2.38,22,51,5,11,74,0,1.61,13,37,1,9,114,0,2.49,37,48,5,3,0,0,0,0,0,0,0
CAN,2022-04-01,Canada,16,0,0.25,6,3,3,0,50,0,0.78,15,18,5,3,40,0,0.63,11,16,5,8,168,0,2.63,69,56,34,6,50,0,0.78,24,18,15,2,17,0,0.27,6,8,3,0,279,0,4.37,104,96,76,17,214,0,3.35,73,82,57,2,260,0,4.07,94,93,32,30,376,0,5.88,154,112,74,9,122,0,1.91,45,42,12,3,14,0,0.22,3,6,0,0,987,0,15.44,253,393,194,75,6,0,0.09,2,2,0,0,17,0,0.27,3,8,3,2,318,0,4.98,109,109,42,10,12,0,0.19,2,5,5,0,62,0,0.97,18,18,9,5,112,0,1.75,29,30,20,5,50,0,0.78,13,17,10,10,603,0,9.44,195,195,79,35,75,0,1.17,29,24,17,11,104,0,1.63,35,39,14,7,133,0,2.08,37,53,16,14,374,0,5.85,80,101,60,28,322,0,5.04,79,116,54,37,39,0,0.61,9,20,7,4,12,0,0.19,1,5,1,1,36,0,0.56,3,8,1,2,27,0,0.42,11,6,3,5,87,0,1.36,23,29,12,1,334,0,5.23,61,110,40,18,127,0,1.99,38,44,14,8,119,0,1.86,36,49,7,9,41,0,0.64,12,15,4,5,44,0,0.69,15,12,4,1,129,0,2.02,31,47,22,11,257,0,4.02,75,99,29,49,142,0,2.22,36,51,18,20,216,0,3.38,68,91,44,10,0,0,0,0,0,0,0
CHE,2022-04-01,Switzerland,1,0,0.14,1,0,0,0,3,0,0.43,0,1,1,0,3,0,0.43,2,1,2,0,19,0,2.7,9,1,2,0,0,0,0,0,0,0,0,2,0,0.28,1,0,0,0,22,0,3.13,7,3,3,3,15,0,2.13,3,2,2,1,12,0,1.7,0,2,3,0,14,0,1.99,3,3,4,0,10,0,1.42,1,1,4,0,13,0,1.85,3,3,3,0,153,0,21.73,34,39,22,6,253,0,35.94,54,64,45,10,0,0,0,0,0,0,0,12,0,1.7,1,0,2,1,1,0,0.14,0,0,0,0,1,0,0.14,0,0,0,0,15,0,2.13,3,4,4,0,0,0,0,0,0,0,0,15,0,2.13,2,4,2,1,2,0,0.28,1,0,0,0,6,0,0.85,0,3,3,0,9,0,1.28,3,3,1,1,5,0,0.71,0,1,1,0,11,0,1.56,4,1,1,1,2,0,0.28,1,0,1,0,0,0,0,0,0,0,0,10,0,1.42,2,1,3,3,2,0,0.28,1,1,0,0,6,0,0.85,3,1,3,0,11,0,1.56,0,2,1,2,10,0,1.42,1,3,1,0,1,0,0.14,1,0,1,0,1,0,0.14,0,0,0,0,2,0,0.28,0,1,0,0,28,0,3.98,3,9,3,0,9,0,1.28,2,3,3,2,15,0,2.13,2,5,0,0,10,0,1.42,2,3,0,0,0,0,0,0,0,0,0
COL,2022-04-01,Colombia,1,0,0.08,0,0,0,0,19,0,1.56,2,10,2,3,36,0,2.95,9,19,12,10,3,0,0.25,1,1,1,0,3,0,0.25,0,3,0,0,1,0,0.08,0,1,0,0,0,0,0,0,0,0,0,11,0,0.9,2,1,1,1,91,0,7.46,27,32,4,8,73,0,5.98,9,35,6,3,21,0,1.72,7,6,2,2,102,0,8.36,11,22,8,6,236,0,19.34,33,76,28,12,30,0,2.46,4,7,5,1,2,0,0.16,0,0,0,0,4,0,0.33,1,1,1,0,2,0,0.16,0,2,1,0,5,0,0.41,1,4,0,1,77,0,6.31,13,20,5,2,0,0,0,0,0,0,0,41,0,3.36,6,9,1,3,3,0,0.25,0,0,0,0,22,0,1.8,1,4,2,1,11,0,0.9,1,0,0,0,9,0,0.74,1,5,2,2,58,0,4.75,1,42,1,4,0,0,0,0,0,0,0,2,0,0.16,1,1,0,1,12,0,0.98,3,6,7,2,2,0,0.16,1,1,0,0,11,0,0.9,5,4,1,0,99,0,8.11,11,46,21,16,10,0,0.82,0,7,1,0,29,0,2.38,6,14,1,2,25,0,2.05,2,18,2,4,79,0,6.48,4,27,7,0,36,0,2.95,10,12,10,2,14,0,1.15,1,6,1,3,4,0,0.33,2,1,0,0,36,0,2.95,2,14,2,0,0,0,0,0,0,0,0
COD,2022-04-01,Democratic Republic of the Congo,2,0,1.96,0,1,0,0,3,0,2.94,0,1,0,0,0,0,0,0,0,0,0,3,0,2.94,0,3,0,0,1,0,0.98,0,1,0,0,0,0,0,0,0,0,0,1,0,0.98,0,0,0,0,1,0,0.98,0,1,0,0,14,0,13.73,7,2,4,0,1,0,0.98,0,1,1,0,1,0,0.98,0,0,0,0,4,0,3.92,1,2,1,0,28,0,27.45,11,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0.98,0,0,0,0,3,0,2.94,0,2,0,0,0,0,0,0,0,0,0,5,0,4.9,2,1,1,0,0,0,0,0,0,0,0,2,0,1.96,0,1,0,0,2,0,1.96,1,0,0,0,2,0,1.96,0,0,0,0,1,0,0.98,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.98,0,0,0,0,0,0,0,0,0,0,0,11,0,10.78,1,6,1,0,1,0,0.98,0,0,0,0,1,0,0.98,0,0,0,0,4,0,3.92,0,4,2,2,1,0,0.98,0,1,0,1,0,0,0,0,0,0,0,5,0,4.9,0,3,0,1,2,0,1.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,2022-04-01,Egypt,13,0,10.24,0,0,0,0,1,0,0.79,0,0,0,0,0,0,0,0,0,0,0,4,0,3.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.36,1,1,0,1,0,0,0,0,0,0,0,5,0,3.94,1,0,0,0,0,0,0,0,0,0,0,2,0,1.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0.79,0,0,0,1,1,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.57,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.79,0,0,0,0,0,0,0,0,0,0,0,1,0,0.79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.79,0,0,0,0,0,0,0,0,0,0,0,33,0,25.98,7,9,2,3,48,0,37.8,9,13,4,1,11,0,8.66,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,2022-04-01,Spain,78,0,2.56,2,26,8,5,102,0,3.35,24,39,11,27,75,0,2.47,26,21,7,7,21,0,0.69,7,10,3,2,27,0,0.89,3,10,6,0,2,0,0.07,0,0,0,0,6,0,0.2,2,2,0,0,32,0,1.05,6,6,2,0,218,0,7.17,31,64,6,23,160,0,5.26,32,39,17,4,108,0,3.55,31,26,15,9,163,0,5.36,21,42,15,7,427,0,14.04,74,132,43,7,150,0,4.93,30,55,35,3,5,0,0.16,2,1,0,0,34,0,1.12,4,10,3,1,7,0,0.23,3,1,1,0,28,0,0.92,6,6,2,1,184,0,6.05,28,26,12,4,4,0,0.13,0,1,0,0,102,0,3.35,10,25,4,0,7,0,0.23,1,3,0,2,159,0,5.23,41,49,22,12,93,0,3.06,13,18,8,16,61,0,2.01,8,14,6,5,118,0,3.88,15,30,7,5,8,0,0.26,2,4,1,2,27,0,0.89,1,7,0,0,14,0,0.46,1,0,0,3,14,0,0.46,3,5,3,1,31,0,1.02,4,11,0,2,146,0,4.8,14,27,11,8,22,0,0.72,6,4,3,2,55,0,1.81,12,13,3,4,36,0,1.18,5,13,3,6,87,0,2.86,16,18,6,1,16,0,0.53,1,7,2,2,39,0,1.28,3,19,7,9,46,0,1.51,7,14,4,6,129,0,4.24,22,48,17,4,0,0,0,0,0,0,0
FRA,2022-04-01,France,108,0,2.5,25,26,11,3,67,0,1.55,17,21,6,3,49,0,1.14,13,14,6,4,82,0,1.9,23,29,12,3,11,0,0.25,7,3,1,1,5,0,0.12,0,3,1,0,41,0,0.95,1,14,6,2,7,0,0.16,3,2,3,0,130,0,3.01,44,38,13,7,88,0,2.04,16,30,6,3,47,0,1.09,13,9,2,3,155,0,3.59,39,40,26,5,1751,0,40.56,328,545,232,126,1,0,0.02,0,1,0,0,5,0,0.12,2,1,1,0,103,0,2.39,18,30,5,3,4,0,0.09,1,3,2,0,53,0,1.23,11,18,8,3,188,0,4.35,36,51,23,6,18,0,0.42,5,4,1,0,72,0,1.67,20,17,6,2,25,0,0.58,4,10,1,1,175,0,4.05,41,51,19,14,26,0,0.6,3,6,3,2,23,0,0.53,6,3,3,5,125,0,2.9,20,59,4,10,5,0,0.12,3,0,0,0,6,0,0.14,2,2,1,1,8,0,0.19,0,1,0,3,7,0,0.16,5,0,2,0,50,0,1.16,7,9,4,2,228,0,5.28,32,57,16,49,63,0,1.46,16,20,9,6,45,0,1.04,9,15,7,1,106,0,2.46,25,30,21,9,114,0,2.64,26,38,8,3,145,0,3.36,26,43,16,11,107,0,2.48,39,28,13,12,38,0,0.88,5,3,3,0,36,0,0.83,4,20,4,0,0,0,0,0,0,0,0
IDN,2022-04-01,Indonesia,17,0,0.58,4,0,1,3,10,0,0.34,2,0,0,0,2,0,0.07,0,0,1,0,107,0,3.62,32,16,2,5,2,0,0.07,0,0,0,0,1,0,0.03,1,0,0,0,46,0,1.56,10,3,0,0,72,0,2.44,19,4,1,0,64,0,2.17,12,7,1,4,39,0,1.32,6,3,0,0,29,0,0.98,4,4,1,1,29,0,0.98,5,2,1,4,311,0,10.52,99,52,27,7,0,0,0,0,0,0,0,1,0,0.03,0,1,0,0,10,0,0.34,2,2,0,0,10,0,0.34,2,2,1,0,31,0,1.05,6,6,3,0,114,0,3.86,22,11,17,8,49,0,1.66,0,0,0,0,58,0,1.96,14,8,4,0,10,0,0.34,0,2,0,1,725,0,24.53,57,20,0,1,227,0,7.68,20,8,2,2,19,0,0.64,6,0,1,2,71,0,2.4,4,1,0,3,1,0,0.03,0,0,0,0,0,0,0,0,0,0,0,18,0,0.61,6,1,2,1,1,0,0.03,0,0,0,0,336,0,11.37,21,5,1,1,115,0,3.89,14,11,3,3,59,0,2,13,8,1,0,38,0,1.29,10,7,3,2,8,0,0.27,1,0,0,0,70,0,2.37,2,3,1,0,42,0,1.42,5,10,3,1,17,0,0.58,4,4,2,0,11,0,0.37,1,0,0,0,185,0,6.26,46,14,14,2,0,0,0,0,0,0,0
