id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18,docs-19,docs-delta-percent-19,docs-percent-19,docs-female-19,docs-male-19,docs-questions-19,docs-complaints-19,docs-20,docs-delta-percent-20,docs-percent-20,docs-female-20,docs-male-20,docs-questions-20,docs-complaints-20,docs-21,docs-delta-percent-21,docs-percent-21,docs-female-21,docs-male-21,docs-questions-21,docs-complaints-21,docs-22,docs-delta-percent-22,docs-percent-22,docs-female-22,docs-male-22,docs-questions-22,docs-complaints-22,docs-23,docs-delta-percent-23,docs-percent-23,docs-female-23,docs-male-23,docs-questions-23,docs-complaints-23,docs-24,docs-delta-percent-24,docs-percent-24,docs-female-24,docs-male-24,docs-questions-24,docs-complaints-24,docs-25,docs-delta-percent-25,docs-percent-25,docs-female-25,docs-male-25,docs-questions-25,docs-complaints-25,docs-26,docs-delta-percent-26,docs-percent-26,docs-female-26,docs-male-26,docs-questions-26,docs-complaints-26,docs-28,docs-delta-percent-28,docs-percent-28,docs-female-28,docs-male-28,docs-questions-28,docs-complaints-28,docs-29,docs-delta-percent-29,docs-percent-29,docs-female-29,docs-male-29,docs-questions-29,docs-complaints-29,docs-30,docs-delta-percent-30,docs-percent-30,docs-female-30,docs-male-30,docs-questions-30,docs-complaints-30,docs-31,docs-delta-percent-31,docs-percent-31,docs-female-31,docs-male-31,docs-questions-31,docs-complaints-31,docs-32,docs-delta-percent-32,docs-percent-32,docs-female-32,docs-male-32,docs-questions-32,docs-complaints-32,docs-33,docs-delta-percent-33,docs-percent-33,docs-female-33,docs-male-33,docs-questions-33,docs-complaints-33,docs-34,docs-delta-percent-34,docs-percent-34,docs-female-34,docs-male-34,docs-questions-34,docs-complaints-34,docs-35,docs-delta-percent-35,docs-percent-35,docs-female-35,docs-male-35,docs-questions-35,docs-complaints-35,docs-36,docs-delta-percent-36,docs-percent-36,docs-female-36,docs-male-36,docs-questions-36,docs-complaints-36,docs-37,docs-delta-percent-37,docs-percent-37,docs-female-37,docs-male-37,docs-questions-37,docs-complaints-37,docs-38,docs-delta-percent-38,docs-percent-38,docs-female-38,docs-male-38,docs-questions-38,docs-complaints-38,docs-39,docs-delta-percent-39,docs-percent-39,docs-female-39,docs-male-39,docs-questions-39,docs-complaints-39,docs-40,docs-delta-percent-40,docs-percent-40,docs-female-40,docs-male-40,docs-questions-40,docs-complaints-40,docs-41,docs-delta-percent-41,docs-percent-41,docs-female-41,docs-male-41,docs-questions-41,docs-complaints-41,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-27,docs-delta-percent-27,docs-percent-27,docs-female-27,docs-male-27,docs-questions-27,docs-complaints-27
AGO,2024-01-01,Angola,0,0,0,0,0,0,0,1,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23.08,0,3,0,2,1,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15.38,0,0,0,0,4,0,30.77,1,1,0,1,1,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,2024-01-01,Brazil,9,0,2.62,0,8,2,5,13,0,3.79,3,9,1,4,4,0,1.17,0,3,2,1,10,0,2.92,6,2,1,3,3,0,0.87,2,0,0,1,0,0,0,0,0,0,0,3,0,0.87,2,0,0,2,3,0,0.87,0,3,1,1,31,0,9.04,6,19,0,9,12,0,3.5,0,9,1,2,6,0,1.75,1,2,0,2,12,0,3.5,4,6,1,2,27,0,7.87,4,15,2,12,24,0,7,4,13,4,8,2,0,0.58,0,2,0,0,5,0,1.46,0,3,0,2,0,0,0,0,0,0,0,10,0,2.92,2,7,1,1,17,0,4.96,1,13,1,2,0,0,0,0,0,0,0,4,0,1.17,2,2,0,0,3,0,0.87,0,3,0,2,3,0,0.87,0,2,0,0,3,0,0.87,1,2,0,1,1,0,0.29,0,1,0,0,5,0,1.46,1,4,1,1,1,0,0.29,0,1,0,0,1,0,0.29,1,0,0,0,1,0,0.29,0,1,0,0,0,0,0,0,0,0,0,11,0,3.21,5,4,0,2,19,0,5.54,0,14,0,12,5,0,1.46,1,4,0,2,2,0,0.58,0,1,0,0,11,0,3.21,1,10,0,0,36,0,10.5,8,21,5,12,12,0,3.5,2,7,0,5,7,0,2.04,3,4,0,4,7,0,2.04,1,3,3,5,20,0,5.83,4,12,2,3,0,0,0,0,0,0,0
CAN,2024-01-01,Canada,2,0,0.14,0,0,0,0,6,0,0.42,0,5,1,3,5,0,0.35,4,1,0,2,49,0,3.4,18,20,11,5,13,0,0.9,6,3,2,6,5,0,0.35,1,2,0,1,57,0,3.95,12,32,14,7,31,0,2.15,9,14,7,4,51,0,3.54,13,17,7,13,68,0,4.72,26,32,15,11,22,0,1.53,7,8,2,7,37,0,2.57,5,12,4,9,497,0,34.47,119,243,85,113,0,0,0,0,0,0,0,6,0,0.42,1,5,3,0,58,0,4.02,20,22,10,10,9,0,0.62,3,4,1,2,24,0,1.66,6,15,4,7,8,0,0.55,2,5,0,2,3,0,0.21,0,3,0,1,96,0,6.66,29,40,19,22,5,0,0.35,1,4,1,3,13,0,0.9,3,5,0,2,24,0,1.66,6,15,5,7,21,0,1.46,6,7,6,6,24,0,1.66,8,10,4,8,1,0,0.07,0,0,0,1,3,0,0.21,2,1,0,2,4,0,0.28,0,2,0,1,13,0,0.9,2,3,1,3,22,0,1.53,4,10,2,6,80,0,5.55,25,38,14,32,24,0,1.66,7,13,1,2,20,0,1.39,5,8,4,9,11,0,0.76,0,6,3,4,4,0,0.28,1,3,0,2,20,0,1.39,5,11,3,3,64,0,4.44,14,35,10,19,15,0,1.04,6,4,1,7,27,0,1.87,4,14,4,2,0,0,0,0,0,0,0
CHE,2024-01-01,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.38,0,1,0,3,2,0,0.92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3.21,0,4,0,0,0,0,0,0,0,0,0,1,0,0.46,0,0,0,0,3,0,1.38,2,1,1,0,2,0,0.92,1,0,0,0,1,0,0.46,0,0,0,0,81,0,37.16,8,33,18,21,80,0,36.7,12,17,7,22,1,0,0.46,0,1,0,0,1,0,0.46,0,0,0,0,1,0,0.46,0,1,0,0,2,0,0.92,0,1,0,0,1,0,0.46,0,1,0,0,0,0,0,0,0,0,0,2,0,0.92,1,0,0,0,1,0,0.46,0,0,0,0,0,0,0,0,0,0,0,1,0,0.46,1,0,0,0,1,0,0.46,0,0,0,0,2,0,0.92,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.46,0,0,0,1,4,0,1.83,1,0,1,1,5,0,2.29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.92,0,1,0,1,7,0,3.21,2,4,1,3,3,0,1.38,0,1,0,2,3,0,1.38,0,2,1,0,0,0,0,0,0,0,0
COL,2024-01-01,Colombia,0,0,0,0,0,0,0,5,0,1.91,0,2,1,1,4,0,1.53,2,2,0,1,0,0,0,0,0,0,0,1,0,0.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5.34,2,9,0,4,9,0,3.44,3,5,0,3,6,0,2.29,1,4,0,3,4,0,1.53,1,0,1,1,44,0,16.79,6,20,2,10,3,0,1.15,0,2,2,0,0,0,0,0,0,0,0,1,0,0.38,0,1,0,0,0,0,0,0,0,0,0,3,0,1.15,1,1,0,0,6,0,2.29,1,3,1,1,0,0,0,0,0,0,0,22,0,8.4,7,5,2,12,1,0,0.38,0,0,0,1,4,0,1.53,0,1,2,2,0,0,0,0,0,0,0,7,0,2.67,1,3,0,1,10,0,3.82,0,6,0,2,1,0,0.38,0,1,0,1,2,0,0.76,0,1,0,0,1,0,0.38,0,0,0,0,0,0,0,0,0,0,0,2,0,0.76,0,1,0,0,72,0,27.48,14,36,5,39,6,0,2.29,1,3,1,0,7,0,2.67,0,4,0,4,7,0,2.67,0,5,0,0,9,0,3.44,0,3,2,4,0,0,0,0,0,0,0,2,0,0.76,0,2,0,1,1,0,0.38,0,1,0,0,8,0,3.05,1,3,0,1,0,0,0,0,0,0,0
COD,2024-01-01,Democratic Republic of the Congo,3,0,4.55,2,1,0,0,4,0,6.06,0,3,0,1,1,0,1.52,0,0,0,1,2,0,3.03,0,2,0,0,1,0,1.52,0,0,0,0,0,0,0,0,0,0,0,1,0,1.52,0,0,0,0,0,0,0,0,0,0,0,3,0,4.55,0,0,0,0,2,0,3.03,1,0,0,0,1,0,1.52,0,1,0,0,3,0,4.55,1,2,0,0,5,0,7.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.03,1,1,0,0,0,0,0,0,0,0,0,2,0,3.03,1,1,0,0,1,0,1.52,0,0,1,0,2,0,3.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.03,0,1,0,1,9,0,13.64,0,7,3,1,2,0,3.03,1,0,0,0,1,0,1.52,0,1,0,0,1,0,1.52,0,1,1,0,7,0,10.61,0,4,0,0,5,0,7.58,0,3,1,2,4,0,6.06,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,2024-01-01,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.22,0,2,0,2,2,0,2.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4.44,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,24.44,4,3,0,2,54,0,60,5,20,2,13,2,0,2.22,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,2024-01-01,Spain,14,0,2.58,2,9,2,2,0,0,0,0,0,0,0,17,0,3.13,3,12,2,5,20,0,3.68,7,9,4,2,4,0,0.74,2,1,2,0,0,0,0,0,0,0,0,2,0,0.37,1,1,0,0,2,0,0.37,0,2,0,0,80,0,14.73,31,22,3,13,81,0,14.92,27,36,6,8,6,0,1.1,3,2,1,1,12,0,2.21,2,7,1,1,32,0,5.89,9,10,0,5,36,0,6.63,9,21,5,6,2,0,0.37,0,2,0,0,3,0,0.55,0,2,0,1,1,0,0.18,0,1,0,0,10,0,1.84,0,6,0,1,24,0,4.42,10,10,5,5,0,0,0,0,0,0,0,5,0,0.92,1,3,0,0,2,0,0.37,0,2,0,1,27,0,4.97,10,10,2,3,16,0,2.95,2,11,0,12,5,0,0.92,0,2,0,1,15,0,2.76,3,5,1,5,3,0,0.55,1,1,0,0,0,0,0,0,0,0,0,1,0,0.18,0,0,0,0,1,0,0.18,0,1,0,1,7,0,1.29,2,4,1,1,8,0,1.47,0,7,1,4,0,0,0,0,0,0,0,13,0,2.39,3,5,1,6,17,0,3.13,3,11,1,7,35,0,6.45,8,15,2,6,8,0,1.47,1,2,1,0,0,0,0,0,0,0,0,9,0,1.66,1,2,1,0,25,0,4.6,9,12,2,0,0,0,0,0,0,0,0
FRA,2024-01-01,France,23,0,7.52,8,9,0,5,0,0,0,0,0,0,0,9,0,2.94,1,5,1,6,12,0,3.92,2,5,0,3,1,0,0.33,0,1,1,0,0,0,0,0,0,0,0,14,0,4.58,1,8,4,6,0,0,0,0,0,0,0,25,0,8.17,7,8,4,4,27,0,8.82,5,15,4,2,6,0,1.96,1,0,1,2,34,0,11.11,10,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.65,0,1,0,2,7,0,2.29,2,4,1,0,2,0,0.65,1,1,0,0,9,0,2.94,0,5,1,1,12,0,3.92,1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.33,0,1,0,0,17,0,5.56,3,4,3,8,1,0,0.33,0,0,0,0,0,0,0,0,0,0,0,19,0,6.21,1,7,2,2,0,0,0,0,0,0,0,1,0,0.33,0,0,0,0,1,0,0.33,0,0,0,0,0,0,0,0,0,0,0,11,0,3.59,4,2,1,1,10,0,3.27,0,3,0,4,0,0,0,0,0,0,0,7,0,2.29,1,3,4,2,15,0,4.9,1,6,5,6,28,0,9.15,8,9,1,4,7,0,2.29,1,3,0,1,0,0,0,0,0,0,0,5,0,1.63,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDN,2024-01-01,Indonesia,2,0,0.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4.25,17,7,2,5,1,0,0.13,1,0,0,0,0,0,0,0,0,0,0,6,0,0.77,1,3,0,1,1,0,0.13,0,0,0,0,26,0,3.35,10,6,1,4,21,0,2.7,0,1,0,0,4,0,0.51,1,1,0,0,9,0,1.16,2,5,1,1,2,0,0.26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.64,1,1,2,1,1,0,0.13,1,0,0,0,12,0,1.54,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3.09,2,1,4,2,4,0,0.51,2,0,0,0,1,0,0.13,1,0,0,0,2,0,0.26,1,0,0,1,0,0,0,0,0,0,0,5,0,0.64,1,2,0,1,1,0,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13,0,1,0,0,0,0,0,0,0,0,0,14,0,1.8,1,4,1,0,111,0,14.29,38,30,2,9,3,0,0.39,1,0,0,0,17,0,2.19,3,11,1,1,3,0,0.39,0,1,0,0,9,0,1.16,2,0,0,1,10,0,1.29,1,2,0,2,0,0,0,0,0,0,0,62,0,7.98,18,2,1,3,387,0,49.81,142,110,17,61,0,0,0,0,0,0,0
